File:,dump.comp0,T,~,4500,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,2,8,10,
,8,46,60,106,
,9,303,477,780,
10,1287,1494,2781,,
11,2591,2549,5140,,
12,2520,2296,4816,,
13,1168,1042,2210,,
14,238,239,477,,
15,35,27,62,,
16,2,0,2,,
,,,,,
File:,dump.comp10000,T,~,4400,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,4,4,
,8,32,62,94,
,9,321,415,736,
10,1361,1459,2820,,
11,2660,2589,5249,,
12,2403,2353,4756,,
13,1129,1053,2182,,
14,254,220,474,,
15,32,35,67,,
16,0,2,2,,
,,,,,
File:,dump.comp20000,T,~,4300,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,3,3,6,
,8,32,54,86,
,9,309,433,742,
10,1291,1410,2701,,
11,2571,2571,5142,,
12,2505,2375,4880,,
13,1187,1055,2242,,
14,264,266,530,,
15,26,25,51,,
16,3,0,3,,
17,1,0,1,,
,,,,,
File:,dump.comp30000,T,~,4200,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,1,5,6,
,8,33,54,87,
,9,284,389,673,
10,1258,1409,2667,,
11,2601,2549,5150,,
12,2579,2351,4930,,
13,1205,1195,2400,,
14,208,213,421,,
15,23,26,49,,
16,0,1,1,,
,,,,,
File:,dump.comp40000,T,~,4100,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,5,5,
,8,34,65,99,
,9,286,366,652,
10,1163,1335,2498,,
11,2647,2569,5216,,
12,2605,2456,5061,,
13,1164,1136,2300,,
14,267,237,504,,
15,22,23,45,,
16,4,0,4,,
,,,,,
File:,dump.comp50000,T,~,4000,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,19,52,71,
,9,270,377,647,
10,1201,1316,2517,,
11,2457,2514,4971,,
12,2691,2508,5199,,
13,1266,1128,2394,,
14,261,269,530,,
15,26,27,53,,
16,1,0,1,,
,,,,,
File:,dump.comp60000,T,~,3900,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,3,3,
,8,35,48,83,
,9,262,307,569,
10,1192,1295,2487,,
11,2489,2598,5087,,
12,2667,2417,5084,,
13,1267,1204,2471,,
14,251,284,535,,
15,26,34,60,,
16,3,2,5,,
,,,,,
File:,dump.comp70000,T,~,3800,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,2,2,
,8,14,44,58,
,9,218,312,530,
10,1189,1287,2476,,
11,2505,2492,4997,,
12,2731,2561,5292,,
13,1237,1224,2461,,
14,271,236,507,,
15,26,34,60,,
16,1,0,1,,
,,,,,
File:,dump.comp80000,T,~,3700,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,16,34,50,
,9,234,324,558,
10,1119,1223,2342,,
11,2539,2524,5063,,
12,2682,2577,5259,,
13,1295,1225,2520,,
14,284,245,529,,
15,19,37,56,,
16,4,2,6,,
,,,,,
File:,dump.comp90000,T,~,3600,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,14,28,42,
,9,204,302,506,
10,1107,1202,2309,,
11,2501,2524,5025,,
12,2790,2581,5371,,
13,1282,1253,2535,,
14,267,276,543,,
15,27,24,51,,
16,0,1,1,,
,,,,,
File:,dump.comp100000,T,~,3500,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,7,7,
,8,14,36,50,
,9,202,271,473,
10,1035,1193,2228,,
11,2538,2483,5021,,
12,2758,2624,5382,,
13,1332,1266,2598,,
14,291,279,570,,
15,22,31,53,,
16,0,2,2,,
,,,,,
File:,dump.comp110000,T,~,3400,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,1,3,4,
,8,13,35,48,
,9,179,276,455,
10,1082,1142,2224,,
11,2524,2451,4975,,
12,2731,2647,5378,,
13,1345,1304,2649,,
14,290,304,594,,
15,27,30,57,,
,,,,,
File:,dump.comp120000,T,~,3300,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,14,29,43,
,9,145,227,372,
