4500,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,900,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,800,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,700,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,300,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total
,1,0.639380293,0.682425344,-0.566514777,0.094388042,,1,0.425951574,0.376517478,-0.325286046,0.07594848,,1,0.419425046,0.370112922,-0.31867987,0.076089113,,1,0.411952127,0.363181817,-0.31210637,0.075460602,,1,0.4213052,0.357125563,-0.314327564,0.074887818
,1.046823,0.547024776,0.616855809,-0.512318625,0.069621667,,1.046823,0.444575494,0.425843558,-0.394699496,0.040510029,,1.046823,0.437969626,0.412514573,-0.385305199,0.0399369,,1.046823,0.428710231,0.405328365,-0.378930624,0.038088674,,1.046823,0.442022709,0.400238739,-0.384597693,0.036533032
,1.093645,0.535331921,0.594446252,-0.468719978,0.096169109,,1.093645,0.4149424,0.43109751,-0.344197946,0.078822009,,1.093645,0.412035005,0.426491909,-0.342757615,0.076505842,,1.093645,0.409475231,0.423109644,-0.342670365,0.073622072,,1.093645,0.406039786,0.417760651,-0.345457879,0.06644234
,1.140468,0.612807519,0.639375446,-0.567746252,0.05834523,,1.140468,0.434916226,0.395017496,-0.383873468,0.031093393,,1.140468,0.433264893,0.399713613,-0.387010936,0.029478317,,1.140468,0.42687996,0.400160583,-0.385220064,0.028300207,,1.140468,0.428001346,0.398190674,-0.387589046,0.025506964
,1.187291,0.657613014,0.690744307,-0.587604274,0.086574386,,1.187291,0.472999529,0.444943195,-0.411750512,0.04722085,,1.187291,0.465966349,0.434034789,-0.403353963,0.046646606,,1.187291,0.457945236,0.427946102,-0.39696259,0.045983079,,1.187291,0.470329998,0.435512513,-0.404989529,0.047931726
,1.234114,0.556234779,0.604132361,-0.505870471,0.074313099,,1.234114,0.534036124,0.516081993,-0.48682363,0.038235428,,1.234114,0.519994965,0.50197275,-0.472950987,0.038032871,,1.234114,0.519071261,0.496296977,-0.468491015,0.039193104,,1.234114,0.528862785,0.481324617,-0.466882206,0.038211495
,1.280936,0.564108938,0.576451725,-0.504343957,0.065936375,,1.280936,0.589702772,0.549126626,-0.53635008,0.033064618,,1.280936,0.578160976,0.529310545,-0.521138676,0.032597084,,1.280936,0.576643539,0.521182915,-0.517314637,0.03159859,,1.280936,0.576760012,0.504429256,-0.512242108,0.028352526
,1.327759,0.620463745,0.62854371,-0.544538448,0.07996528,,1.327759,0.621227649,0.54606363,-0.540318499,0.04332714,,1.327759,0.610723143,0.527177482,-0.526614569,0.042335744,,1.327759,0.602182798,0.514956528,-0.517516442,0.041053221,,1.327759,0.561695344,0.499115147,-0.492174715,0.03823053
,1.374582,0.619804996,0.633726432,-0.556380933,0.070384781,,1.374582,0.574589924,0.534527182,-0.520930119,0.033628434,,1.374582,0.566984794,0.52367352,-0.512795775,0.032533382,,1.374582,0.560503866,0.510982595,-0.505024597,0.030718634,,1.374582,0.51797702,0.480648157,-0.472093577,0.027219012
,1.421405,0.545101025,0.555443141,-0.476729425,0.073542658,,1.421405,0.48692052,0.469664207,-0.442282635,0.036009729,,1.421405,0.487160778,0.454530805,-0.437283971,0.033561821,,1.421405,0.479110909,0.45099869,-0.433050272,0.032004528,,1.421405,0.450553161,0.432334273,-0.414870868,0.026572849
,1.468227,0.531865038,0.553761544,-0.461136232,0.081677058,,1.468227,0.539160529,0.504778411,-0.486764686,0.035204784,,1.468227,0.538253782,0.507055244,-0.488467265,0.034187248,,1.468227,0.526903363,0.520962097,-0.490809563,0.033123167,,1.468227,0.503846009,0.494167979,-0.472615859,0.026391135
,1.51505,0.561952912,0.593190893,-0.496065961,0.081505942,,1.51505,0.654794297,0.594840098,-0.594152183,0.030665014,,1.51505,0.645271449,0.587057971,-0.587180059,0.028984651,,1.51505,0.647241853,0.595240057,-0.59427161,0.026969345,,1.51505,0.625295042,0.570774769,-0.575414975,0.02261993
,1.561873,0.522578727,0.583803978,-0.470398572,0.082792781,,1.561873,0.60157422,0.560547522,-0.542581621,0.03847925,,1.561873,0.592710039,0.54274007,-0.531754211,0.035970844,,1.561873,0.600274058,0.536918902,-0.535998206,0.032598274,,1.561873,0.571424221,0.537839921,-0.524801889,0.029830182
,1.608696,0.536021274,0.6026714,-0.492411471,0.076934866,,1.608696,0.55630185,0.505579414,-0.491822211,0.039118421,,1.608696,0.563139636,0.507378931,-0.497562972,0.037696312,,1.608696,0.570034061,0.511136949,-0.505169543,0.035415962,,1.608696,0.568635754,0.52709408,-0.512120216,0.035744701
,1.655518,0.549134809,0.597111352,-0.480698119,0.092424961,,1.655518,0.648324283,0.586143778,-0.573408644,0.043825387,,1.655518,0.651687062,0.586468976,-0.576157834,0.042920185,,1.655518,0.646895974,0.580625361,-0.573567437,0.040193231,,1.655518,0.649599405,0.583022521,-0.576135296,0.040175667
,1.702341,0.547463759,0.561788932,-0.461458647,0.093167699,,1.702341,0.616943102,0.567887797,-0.544430909,0.04798454,,1.702341,0.601067041,0.559857682,-0.532083839,0.048378522,,1.702341,0.583545328,0.555434521,-0.521207799,0.048282126,,1.702341,0.565420083,0.574977824,-0.521861328,0.048337625
,1.749164,0.564187395,0.574269415,-0.462835431,0.106392974,,1.749164,0.548635632,0.521599407,-0.488632451,0.046485068,,1.749164,0.537417428,0.528325912,-0.485697873,0.047173797,,1.749164,0.531075273,0.523963448,-0.480448805,0.047070555,,1.749164,0.512430553,0.550277058,-0.486386975,0.044966831
,1.795987,0.529326748,0.629107839,-0.468396257,0.110821036,,1.795987,0.61733314,0.616273965,-0.568098942,0.04870461,,1.795987,0.616040252,0.629111603,-0.574215869,0.048360059,,1.795987,0.613408736,0.629875897,-0.572889148,0.048753168,,1.795987,0.612411538,0.64142217,-0.586842365,0.040074489
,1.842809,0.523950604,0.635390267,-0.461413081,0.118257354,,1.842809,0.660470812,0.639018634,-0.596156563,0.05358816,,1.842809,0.662715133,0.641865206,-0.600177079,0.052113091,,1.842809,0.64315275,0.640387742,-0.592105475,0.049664771,,1.842809,0.621657868,0.643715933,-0.590187772,0.042499128
,1.889632,0.562939315,0.601452059,-0.450543671,0.131652016,,1.889632,0.582831995,0.541954805,-0.507461411,0.054931989,,1.889632,0.590847183,0.547365025,-0.514872748,0.054233357,,1.889632,0.580078533,0.552027517,-0.514227672,0.051825352,,1.889632,0.536507563,0.540537419,-0.494758093,0.043764398
,1.936455,0.530027994,0.59356149,-0.437721078,0.124073664,,1.936455,0.576365059,0.585638511,-0.523782644,0.057219141,,1.936455,0.589755211,0.594771099,-0.537192253,0.055070902,,1.936455,0.585667346,0.583897816,-0.531915385,0.052867196,,1.936455,0.567456207,0.55351984,-0.514111028,0.046376996
,1.983278,0.462501815,0.560921073,-0.390163194,0.121548249,,1.983278,0.630335695,0.64037137,-0.573547748,0.061805785,,1.983278,0.651785589,0.659291466,-0.59941309,0.056125438,,1.983278,0.638165661,0.633619677,-0.579478746,0.056413923,,1.983278,0.623516278,0.596129118,-0.558596686,0.051226012
,2.0301,0.484423268,0.561146515,-0.385692803,0.137092088,,2.0301,0.643028736,0.633656446,-0.580183562,0.058159029,,2.0301,0.667368252,0.648628884,-0.605726158,0.05227241,,2.0301,0.640341348,0.611493386,-0.575754949,0.050162418,,2.0301,0.582484048,0.563966906,-0.531629765,0.041595712
,2.076923,0.515087113,0.60676848,-0.406366561,0.154561235,,2.076923,0.590492185,0.559822499,-0.505198248,0.069959094,,2.076923,0.627270137,0.572123563,-0.534972025,0.064724825,,2.076923,0.619241789,0.549244486,-0.521278126,0.062965012,,2.076923,0.611862354,0.547665305,-0.522165176,0.057598654
,2.123746,0.568643416,0.662970535,-0.450657469,0.165149507,,2.123746,0.554458506,0.531076054,-0.472573939,0.070193341,,2.123746,0.563278183,0.530621163,-0.485258901,0.061690772,,2.123746,0.572062246,0.540456092,-0.495844189,0.06041498,,2.123746,0.582800723,0.539862711,-0.50737877,0.053952947
,2.170569,0.59460539,0.680854317,-0.448281814,0.189448039,,2.170569,0.550619248,0.519337518,-0.467604372,0.067374011,,2.170569,0.550692234,0.522158299,-0.472601485,0.063823781,,2.170569,0.542072978,0.532762103,-0.477487263,0.059930278,,2.170569,0.520277929,0.50447189,-0.453132901,0.059242008
,2.217391,0.573573904,0.640805902,-0.401290126,0.205899777,,2.217391,0.596004509,0.587918194,-0.51766147,0.074299881,,2.217391,0.572883243,0.579516105,-0.501520411,0.074679263,,2.217391,0.554367312,0.588349145,-0.499234974,0.072123254,,2.217391,0.557179202,0.586437974,-0.504708331,0.067100257
,2.264214,0.578614818,0.594365779,-0.367476494,0.219013805,,2.264214,0.60396802,0.652084888,-0.546664699,0.081361754,,2.264214,0.56168437,0.626829972,-0.514845991,0.07941118,,2.264214,0.532349539,0.620428896,-0.496558539,0.079830679,,2.264214,0.523672614,0.575899001,-0.479783389,0.070002418
,2.311037,0.612800979,0.600815709,-0.339058802,0.267749542,,2.311037,0.588693015,0.642083985,-0.512719486,0.102669014,,2.311037,0.56146926,0.633621289,-0.500400824,0.09714445,,2.311037,0.51981355,0.617923096,-0.473660306,0.095208016,,2.311037,0.490727431,0.545915731,-0.440254819,0.078066762
,2.35786,0.593213,0.615566328,-0.311920909,0.292468754,,2.35786,0.51764328,0.526674684,-0.405497557,0.116661425,,2.35786,0.493201879,0.531548591,-0.402578864,0.109796371,,2.35786,0.463289614,0.538829157,-0.390338161,0.110721225,,2.35786,0.446941984,0.541148434,-0.396892604,0.097152606
,2.404682,0.633325358,0.649751075,-0.305229732,0.336308484,,2.404682,0.513531175,0.540502593,-0.407151662,0.119865221,,2.404682,0.520741591,0.542146674,-0.416404913,0.115039219,,2.404682,0.518079789,0.544236374,-0.420412571,0.110745511,,2.404682,0.53694148,0.58152919,-0.46059775,0.098637584
,2.451505,0.667963464,0.674844657,-0.275302865,0.396101195,,2.451505,0.582624913,0.653449007,-0.48388026,0.134156699,,2.451505,0.602503457,0.650218443,-0.496355851,0.130005099,,2.451505,0.603465559,0.635922651,-0.495539848,0.124154257,,2.451505,0.600156743,0.67302713,-0.533820749,0.102771188
,2.498328,0.613045219,0.673103714,-0.234522586,0.40855188,,2.498328,0.586466718,0.691612131,-0.486514552,0.152524872,,2.498328,0.588012565,0.666630752,-0.483324909,0.14399675,,2.498328,0.56807841,0.65305371,-0.469136016,0.141430044,,2.498328,0.532685438,0.642148778,-0.475143356,0.112273752
,2.545151,0.608059714,0.721678267,-0.23428886,0.430580131,,2.545151,0.573556663,0.670912524,-0.45642249,0.165812104,,2.545151,0.560721399,0.642216162,-0.447401611,0.154067169,,2.545151,0.542367588,0.637503,-0.438231373,0.151703921,,2.545151,0.511311621,0.62414427,-0.434091227,0.133636719
,2.591973,0.640450042,0.789713572,-0.244426479,0.470655328,,2.591973,0.551588614,0.634480481,-0.390905249,0.202129298,,2.591973,0.543891928,0.613676377,-0.38683394,0.191950212,,2.591973,0.517797093,0.596735622,-0.371890566,0.185375792,,2.591973,0.477103758,0.583773738,-0.372084501,0.158354247
,2.638796,0.676186335,0.718344961,-0.19406794,0.503197708,,2.638796,0.542810769,0.628215404,-0.336809585,0.248703501,,2.638796,0.535073149,0.649981274,-0.346438759,0.246088453,,2.638796,0.507799211,0.659213864,-0.346998032,0.236508505,,2.638796,0.473359915,0.642019725,-0.367108963,0.190580857
,2.685619,0.714580719,0.737634588,-0.139932083,0.586175571,,2.685619,0.624349404,0.633786158,-0.333636366,0.295431415,,2.685619,0.630844179,0.666824101,-0.352001566,0.296832574,,2.685619,0.61460958,0.676909281,-0.345256285,0.300503145,,2.685619,0.625451907,0.618582361,-0.35649933,0.265517805
,2.732441,0.77833296,0.900040288,-0.179880724,0.6593059,,2.732441,0.705286833,0.664430637,-0.351332875,0.33352586,,2.732441,0.725189846,0.680331925,-0.381580329,0.321180556,,2.732441,0.737495518,0.688511274,-0.383743473,0.329259923,,2.732441,0.742195287,0.637134153,-0.381459782,0.308204938
