file,compStep,stepInDump,tempK,rcut,NNi,NMn,cNi,cMn,z_Ni,z_Mn,n12_mean,n21_mean,P_Ni_to_Mn,P_Mn_to_Ni,alpha_NiMn,alpha_MnNi
dump.comp0,0,0,4500,2.955,8192,8192,0.5,0.5,11.119263,10.935669,5.559204,5.559204,0.499962,0.508355,7.70E-05,-0.01671
dump.comp10000,10000,10000,4400,2.955,8192,8192,0.5,0.5,11.083984,10.965576,5.570557,5.570557,0.502577,0.508004,-0.005154,-0.016008
dump.comp20000,20000,20000,4300,2.955,8192,8192,0.5,0.5,11.127197,10.990479,5.587402,5.587402,0.502139,0.508386,-0.004278,-0.016771
dump.comp30000,30000,30000,4200,2.955,8192,8192,0.5,0.5,11.14502,11.02832,5.619873,5.619873,0.50425,0.509586,-0.008499,-0.019171
dump.comp40000,40000,40000,4100,2.955,8192,8192,0.5,0.5,11.160645,11.039795,5.647217,5.647217,0.505994,0.511533,-0.011988,-0.023066
dump.comp50000,50000,50000,4000,2.955,8192,8192,0.5,0.5,11.202515,11.063599,5.654175,5.654175,0.504724,0.511061,-0.009447,-0.022122
dump.comp60000,60000,60000,3900,2.955,8192,8192,0.5,0.5,11.209961,11.119629,5.674805,5.674805,0.506229,0.510341,-0.012458,-0.020682
dump.comp70000,70000,70000,3800,2.955,8192,8192,0.5,0.5,11.227661,11.105347,5.707153,5.707153,0.508312,0.51391,-0.016624,-0.027821
dump.comp80000,80000,80000,3700,2.955,8192,8192,0.5,0.5,11.246826,11.127197,5.704346,5.704346,0.507196,0.512649,-0.014392,-0.025298
dump.comp90000,90000,90000,3600,2.955,8192,8192,0.5,0.5,11.272949,11.15332,5.749023,5.749023,0.509984,0.515454,-0.019968,-0.030908
dump.comp100000,100000,100000,3500,2.955,8192,8192,0.5,0.5,11.282349,11.181763,5.771118,5.771118,0.511517,0.516119,-0.023035,-0.032238
dump.comp110000,110000,110000,3400,2.955,8192,8192,0.5,0.5,11.306274,11.200806,5.743042,5.743042,0.507952,0.512735,-0.015904,-0.025469
dump.comp120000,120000,120000,3300,2.955,8192,8192,0.5,0.5,11.34375,11.228271,5.781738,5.781738,0.509685,0.514927,-0.01937,-0.029854
dump.comp130000,130000,130000,3200,2.955,8192,8192,0.5,0.5,11.364258,11.282227,5.824707,5.824707,0.512546,0.516273,-0.025092,-0.032546
dump.comp140000,140000,140000,3100,2.955,8192,8192,0.5,0.5,11.392456,11.296753,5.815063,5.815063,0.510431,0.514755,-0.020862,-0.029511
dump.comp150000,150000,150000,3000,2.955,8192,8192,0.5,0.5,11.386841,11.351685,5.871948,5.871948,0.515678,0.517275,-0.031357,-0.034551
dump.comp160000,160000,160000,2900,2.955,8192,8192,0.5,0.5,11.428223,11.390137,5.923096,5.923096,0.518287,0.52002,-0.036573,-0.040039
dump.comp170000,170000,170000,2800,2.955,8192,8192,0.5,0.5,11.448364,11.425415,5.908081,5.908081,0.516063,0.5171,-0.032127,-0.0342
dump.comp180000,180000,180000,2700,2.955,8192,8192,0.5,0.5,11.484009,11.436646,5.973267,5.973267,0.520138,0.522292,-0.040276,-0.044584
dump.comp190000,190000,190000,2600,2.955,8192,8192,0.5,0.5,11.525635,11.494873,6.000244,6.000244,0.5206,0.521993,-0.0412,-0.043986
dump.comp200000,200000,200000,2500,2.955,8192,8192,0.5,0.5,11.540894,11.530151,6.026245,6.026245,0.522165,0.522651,-0.044329,-0.045302
dump.comp210000,210000,210000,2400,2.955,8192,8192,0.5,0.5,11.568604,11.564453,6.071045,6.071045,0.524786,0.524975,-0.049573,-0.049949
dump.comp220000,220000,220000,2300,2.955,8192,8192,0.5,0.5,11.58606,11.619751,6.081177,6.081177,0.52487,0.523348,-0.04974,-0.046697
dump.comp230000,230000,230000,2200,2.955,8192,8192,0.5,0.5,11.637695,11.679443,6.140137,6.140137,0.527608,0.525722,-0.055215,-0.051443
dump.comp240000,240000,240000,2100,2.955,8192,8192,0.5,0.5,11.64856,11.683472,6.163696,6.163696,0.529138,0.527557,-0.058276,-0.055114
dump.comp250000,250000,250000,2000,2.955,8192,8192,0.5,0.5,11.703735,11.757446,6.192749,6.192749,0.529126,0.526709,-0.058252,-0.053417
dump.comp260000,260000,260000,1900,2.955,8192,8192,0.5,0.5,11.724976,11.810425,6.248413,6.248413,0.532915,0.529059,-0.06583,-0.058118
dump.comp270000,270000,270000,1800,2.955,8192,8192,0.5,0.5,11.791382,11.882202,6.292358,6.292358,0.53364,0.529562,-0.067281,-0.059123
dump.comp280000,280000,280000,1700,2.955,8192,8192,0.5,0.5,11.811646,11.928345,6.341187,6.341187,0.536859,0.531607,-0.073718,-0.063213
dump.comp290000,290000,290000,1600,2.955,8192,8192,0.5,0.5,11.809692,11.987915,6.376831,6.376831,0.539966,0.531938,-0.079932,-0.063877
dump.comp300000,300000,300000,1500,2.955,8192,8192,0.5,0.5,11.892944,12.018921,6.427612,6.427612,0.540456,0.534791,-0.080912,-0.069582
