
	0	100	200	300	400	500
r       g(r)    g(r)    g(r)    g(r)    g(r)    g(r)
0.05	0	0	0	0	0	0
0.15	0	0	0	0	0	0
0.25	0	0	0	0	0	0
0.35	0	0	0	0	0	0
0.45	0	0	0	0	0	0
0.55	0	0	0	0	0	0
0.65	0	0	0	0	0	0
0.75	0	0	0	0	0	0
0.85	0	0	0	0	0	0
0.95	0	0	0	0	0	0
1.05	0	0	0	0	0	0
1.15	0	0	0	0	0	0
1.25	0	0	0	0	0	0
1.35	0	0	0	0	0	0
1.45	0	0	0	0	0	0
1.55	0	0	0	0	0	0
1.65	0	0	0	0	0	0
1.75	0	0	0	0	0	0
1.85	0	0	0	0	0	0
1.95	0	5.2440049408E-4	0	0.0015732015	5.2440049408E-4	0
2.05	0.0408067588	0.0370107813	0.043653742	0.0294188261	0.0275208373	0.0341637981
2.15	0.6000665325	0.5728888247	0.527592645	0.5314751747	0.5232787232	0.5181020169
2.25	2.530836532	2.5072022609	2.4626910503	2.4749020903	2.4378750656	2.4343299249
2.35	4.5740404271	4.605456036	4.5946230674	4.6220665878	4.6502323061	4.6502323061
2.45	4.2538354802	4.3757628171	4.4608129485	4.4551650882	4.5608132983	4.5352318135
2.55	2.8141346404	2.7736523199	2.8601372772	2.8874321751	2.8190415883	2.8414295382
2.65	1.451409903	1.4962783759	1.4548176352	1.4179005373	1.4403347737	1.4355071532
2.75	0.7942719184	0.7507610065	0.7146337645	0.718589302	0.7014486397	0.7014486397
2.85	0.4797530747	0.4500447216	0.4286841702	0.4048683829	0.406587048	0.3962750576
2.95	0.3352634355	0.3203679308	0.3093681735	0.2903477599	0.2914935679	0.2784313562
3.05	0.2964907033	0.2722655048	0.2756956214	0.2701216819	0.2621895373	0.260474479
3.15	0.312335189	0.3097223464	0.304697649	0.3014818427	0.3153500074	0.3022857942
3.25	0.3776213088	0.3934814037	0.3963135636	0.3953695103	0.3929149718	0.4029219365
3.35	0.4801655135	0.4785661465	0.4993579175	0.5283242308	0.5153515874	0.5476943422
3.45	0.5316538443	0.5559494029	0.5846014065	0.6003516307	0.5980058526	0.6174422995
3.55	0.575236552	0.5978662156	0.6059369347	0.6005564553	0.6087854238	0.629674344
3.65	0.6089694872	0.6004367289	0.5996882414	0.5920536682	0.5871136502	0.5712457137
3.75	0.6936443834	0.6536509841	0.6292578469	0.6137994053	0.6157848932	0.604439248
3.85	0.8792800086	0.8347441734	0.7772916005	0.770564133	0.7787716434	0.7451343057
3.95	1.1267625711	1.0990249106	1.0634900274	1.094423271	1.054158925	1.0463617025
4.05	1.4052075834	1.4353617308	1.4229596218	1.4242971041	1.456275091	1.4419275532
4.15	1.6163427854	1.6590731542	1.7396702726	1.7346908529	1.737238463	1.7395544721
4.25	1.6068750776	1.6833929384	1.7092301382	1.7637753377	1.733631938	1.790054199
4.35	1.4434172095	1.449530258	1.4815710635	1.4702935431	1.4973806715	1.5104499474
4.45	1.2871229619	1.2406938785	1.2401903093	1.2062497429	1.216723983	1.2091704445
4.55	1.1894567508	1.1766441042	1.1470690477	1.1362794506	1.1258751962	1.1055483658
4.65	1.1752829598	1.1603405771	1.1504712257	1.1477041178	1.1441991144	1.1397717418
4.75	1.1506285013	1.1356014716	1.1359550488	1.1259664938	1.13268446	1.1321540942
4.85	1.0249885094	1.0300757218	1.0423698184	1.0382152616	1.0204948051	1.0248189356
4.95	0.8484704402	0.8601100481	0.841633188	0.8360168737	0.8473308982	0.8429355218
5.05	0.7149435486	0.6977386065	0.6917950811	0.6985988536	0.6939065967	0.7040731534
5.15	0.6190952815	0.6336082645	0.6299236211	0.6199224463	0.6205240207	0.6078909578
5.25	0.616358487	0.610497365	0.6298897194	0.6220025305	0.6356784819	0.6379939869
5.35	0.6531093342	0.6712957779	0.6824445556	0.7000735604	0.7011187583	0.7015368374
5.45	0.7109453624	0.7282019697	0.7506959909	0.7687583542	0.759425014	0.7744657924
5.55	0.7901260449	0.8011332913	0.8043707167	0.83460827	0.827356437	0.8289104012
5.65	0.8589319797	0.8776750401	0.8692406629	0.8633678373	0.87248946	0.8669914957
5.75	0.9550894726	0.950022365	0.9519526917	0.9262552171	0.9211277867	0.9110538941
5.85	1.065672822	1.037349679	1.0112411028	1.0107748783	1.0020914456	0.9979537025
5.95	1.1438954212	1.1142065324	1.104066115	1.0947143967	1.089475181	1.0700957166
6.05	1.2086694525	1.1905791875	1.1594661112	1.1632803237	1.1557608762	1.1330390675
6.15	1.2459328714	1.2298498544	1.2255786269	1.2004785741	1.2222038299	1.2067535873
6.25	1.2800075059	1.2818966274	1.284092093	1.2899636871	1.2904232032	1.2928739555
6.35	1.2910552894	1.312472305	1.3375495033	1.3369559602	1.3375989652	1.3677212804
6.45	1.2401156999	1.2824947891	1.30905363	1.3204154446	1.3272708855	1.3551241104
6.55	1.1670693726	1.1849670706	1.1923120999	1.2099308728	1.2271777454	1.2253182443
6.65	1.0545269024	1.0489796092	1.0585407975	1.0770768747	1.0552936015	1.0633213916
6.75	0.9600419941	0.9410442636	0.9343031334	0.935572567	0.9252857774	0.921740118
6.85	0.9024207574	0.8823584618	0.8687144006	0.8539227081	0.8600009036	0.8452517159
6.95	0.8600402963	0.853144779	0.8424092431	0.8412531085	0.8310543494	0.8432350536
7.05	0.8450046284	0.8466899829	0.8376612983	0.8299568207	0.8348925016	0.8250612672
7.15	0.836787855	0.835929571	0.8353443774	0.8352273386	0.8339399127	0.8352663516
7.25	0.8236531993	0.8473682797	0.8378443034	0.8395517892	0.8403106718	0.8490378213
7.35	0.8238402299	0.8400844468	0.8493141156	0.8472835884	0.8470620764	0.8520091788
7.45	0.8562050413	0.8609842947	0.8577142792	0.8592594514	0.862709138	0.8621701245
7.55	0.880454477	0.8817490572	0.8880820035	0.8928054717	0.8908111185	0.8920357213
7.65	0.9296658398	0.9391059747	0.9354594244	0.9435363628	0.9387992555	0.9363114221
7.75	1.0045181472	0.9882471515	0.996880741	0.9961502065	1.0069089874	0.9871845558
7.85	1.0807487132	1.0530114813	1.0595816775	1.0545650252	1.0602937184	1.0641128472
7.95	1.1254591252	1.1255853508	1.1086711186	1.1120476537	1.1084817802	1.1113534129
8.05	1.1487309362	1.1413443907	1.1413443907	1.1326036452	1.1312802224	1.1407596225
8.15	1.1543743841	1.1471079359	1.1388205817	1.1376495426	1.1372291695	1.1360281037
8.25	1.134090405	1.1353504403	1.1245961853	1.1186769495	1.1174755205	1.1231310279
8.35	1.1102933579	1.1060883514	1.1052301868	1.1012826296	1.0964769078	1.0975639163
8.45	1.0916279914	1.0840862305	1.0843934874	1.0877453812	1.089728585	1.0881364354
8.55	1.0686706283	1.0616589267	1.080429552	1.0706349961	1.0826121829	1.0865136355
8.65	1.0298437713	1.0489292674	1.0694275166	1.0737457434	1.0707869584	1.0776108229
8.75	0.9934663823	1.0203759654	1.027409448	1.041085664	1.0483535959	1.0331143838
8.85	0.9626625439	0.9784251117	0.9804368126	0.9931945614	0.984307427	0.9829832695
8.95	0.9245638969	0.9274272489	0.931311448	0.9269292746	0.9273774514	0.9342992936
9.05	0.8941387614	0.8923611012	0.889731138	0.8902181682	0.8802096974	0.8797713702
9.15	0.8811098947	0.8788944347	0.8654825638	0.8588123615	0.8643629227	0.8591696938
9.25	0.8764509812	0.8744230228	0.8734440084	0.8730943604	0.863560625	0.867756401
9.35	0.8973403411	0.8877813041	0.8861387011	0.8883744663	0.8956749242	0.8929372525
9.45	0.9252386789	0.9242783317	0.9169528927	0.912463828	0.9184045803	0.9168635581
9.55	0.9520621395	0.951362351	0.9479290141	0.9469449367	0.9476884619	0.9452829392
9.65	0.9762100844	0.9744538486	0.9774737175	0.970898542	0.9687353736	0.969806249
9.75	1.0085923472	1.0105645079	1.0031374347	1.0079419538	1.0107743122	1.0067670496
9.85	1.0605561206	1.0448714346	1.0563625741	1.0517167825	1.0445219724	1.0430418972
